ID,stations_name,stations_en_name,area,area_en_name,lon,lat
1075A,市监测站,Shijiancezhan,衡水,Hengshui,115.6426,37.7379
1076A,市环保局,Shihuanbaoju,衡水,Hengshui,115.6906,37.739
1077A,达活泉,Dahuoquan,邢台,Xingtai,114.4821,37.0967
1078A,邢师高专,Xingshigaozhuan,邢台,Xingtai,114.5261,37.0533
1079A,路桥公司,Luqiaogongsi,邢台,Xingtai,114.5331,37.0964
1080A,市环保局,Shihuanbaoju,邢台,Xingtai,114.4854,37.062
1081A,尖草坪,Jiancaoping,太原,Taiyuan,112.522,37.8873
1082A,涧河,Jianhe,太原,Taiyuan,112.573,37.9103
1083A,上兰,Shanglan,太原,Taiyuan,112.434,38.0108
1084A,晋源,Jinyuan,太原,Taiyuan,112.469,37.7124
1085A,小店,Xiaodian,太原,Taiyuan,112.5583,37.7394
1086A,桃园,Taoyuan,太原,Taiyuan,112.5369,37.8692
1087A,坞城,Wucheng,太原,Taiyuan,112.57,37.8195
1088A,南寨,Nanzhai,太原,Taiyuan,112.549,37.9854
1089A,金胜,Jinsheng,太原,Taiyuan,112.488,37.7805
1090A,呼市一监,Hushiyijian,呼和浩特,Huhehaote,111.651,40.7579
1091A,小召,Xiaozhao,呼和浩特,Huhehaote,111.658,40.8033
1092A,兴松小区,Xingsongxiaoqu,呼和浩特,Huhehaote,111.659,40.8452
1093A,糖厂,Tangchang,呼和浩特,Huhehaote,111.608,40.8144
1094A,如意水处理厂,Ruyishuichulichang,呼和浩特,Huhehaote,111.751,40.8369
1095A,二十九中,Ershijiuzhong,呼和浩特,Huhehaote,111.7277,40.8062
1096A,工大金川校区,Gongdajinchuanxiaoqu,呼和浩特,Huhehaote,111.551,40.7866
1097A,化肥厂生活区,Huafeichangshenghuoqu,呼和浩特,Huhehaote,111.717,40.7612
1098A,辉山,Huishan,沈阳,Shenyang,123.6836,41.9339
1099A,浑南二,Hunnaner,沈阳,Shenyang,123.535,41.7561
1100A,东软,Dongruan,沈阳,Shenyang,123.439,41.7089
1101A,张士,Zhangshi,沈阳,Shenyang,123.284,41.7694
1102A,炮兵学院,Paobingxueyuan,沈阳,Shenyang,123.542,41.8336
1103A,北陵,Beiling,沈阳,Shenyang,123.428,41.8472
1104A,文艺路,Wenyilu,沈阳,Shenyang,123.41,41.765
1105A,小河沿,Xiaoheyan,沈阳,Shenyang,123.478,41.7775
1106A,太原街,Taiyuanjie,沈阳,Shenyang,123.3997,41.7972
1107A,二毛,Ermao,沈阳,Shenyang,123.3606,41.7806
1108A,辽大,Liaoda,沈阳,Shenyang,123.3783,41.9228
1109A,甘井子,Ganjingzi,大连,Dalian,121.6119444,38.97388889
1110A,周水子,Zhoushuizi,大连,Dalian,121.565,38.95111111
1111A,星海三站,Xinghaisanzhan,大连,Dalian,121.5638889,38.885
1112A,青泥洼桥,Qingniwaqiao,大连,Dalian,121.6330556,38.91194444
1113A,傅家庄,Fujiazhuang,大连,Dalian,121.625,38.86388889
1114A,七贤岭,Qixianling,大连,Dalian,121.5180556,38.85611111
1115A,旅顺,Lu:shun,大连,Dalian,121.2588889,38.80805556
1116A,金州,Jinzhou,大连,Dalian,121.7481,39.1311
1117A,开发区,Kaifaqu,大连,Dalian,121.7769,39.0511
1118A,双D港,Shuangdgang,大连,Dalian,121.9769,39.0631
1119A,食品厂,Shipinchang,长春,Zhangchun,125.323,43.9167
1120A,客车厂,Kechechang,长春,Zhangchun,125.287,43.91
1121A,邮电学院,Youdianxueyuan,长春,Zhangchun,125.2786,43.84
1122A,劳动公园,Laodonggongyuan,长春,Zhangchun,125.3649,43.8748
1123A,园林处,Yuanlinchu,长春,Zhangchun,125.325,43.8694
1124A,净月潭,Jingyuetan,长春,Zhangchun,125.454,43.7878
1125A,甩湾子,Shuaiwanzi,长春,Zhangchun,125.633,43.55
1126A,经开区环卫处,Jingkaiquhuanweichu,长春,Zhangchun,125.417,43.8667
1127A,高新区管委会,Gaoxinquguanweihui,长春,Zhangchun,125.25,43.8167
1128A,岱山公园,Daishangongyuan,长春,Zhangchun,125.217,43.85
1129A,岭北,Lingbei,哈尔滨,Haerbin,126.542,45.755
1130A,松北商大,Songbeishangda,哈尔滨,Haerbin,126.561,45.8167
1131A,阿城会宁,Achenghuining,哈尔滨,Haerbin,126.979,45.5422
1132A,南岗学府路,Nangangxuefulu,哈尔滨,Haerbin,126.599,45.7222
1133A,太平宏伟公园,Taipinghongweigongyuan,哈尔滨,Haerbin,126.689,45.7733
1134A,道外承德广场,Daowaichengdeguangchang,哈尔滨,Haerbin,126.635,45.7667
1135A,香坊红旗大街,Xiangfanghongqidajie,哈尔滨,Haerbin,126.685,45.7319
1136A,动力和平路,Donglihepinglu,哈尔滨,Haerbin,126.646,45.7258
1137A,道里建国路,Daolijianguolu,哈尔滨,Haerbin,126.593,45.7478
1138A,平房东轻厂,Pingfangdongqingchang,哈尔滨,Haerbin,126.615,45.61
1139A,呼兰师专,Hulanshizhuan,哈尔滨,Haerbin,126.6106,45.9819
1140A,省农科院,Shengnongkeyuan,哈尔滨,Haerbin,126.6206,45.6842
1141A,普陀,Putuo,上海,Shanghai,121.392499,31.241701
1142A,十五厂,Shiwuchang,上海,Shanghai,121.478,31.2036
1143A,虹口,Hongkou,上海,Shanghai,121.467,31.3008
1144A,徐汇上师大,Xuhuishangshida,上海,Shanghai,121.412,31.1654
1145A,杨浦四漂,Yangpusipiao,上海,Shanghai,121.536,31.2659
1146A,青浦淀山湖,Qingpudianshanhu,上海,Shanghai,120.978,31.0935
1147A,静安监测站,Jinganjiancezhan,上海,Shanghai,121.425,31.2261
1148A,浦东川沙,Pudongchuansha,上海,Shanghai,121.703,31.1907
1149A,浦东新区监测站,Pudongxinqujiancezhan,上海,Shanghai,121.533,31.2284
1150A,浦东张江,Pudongzhangjiang,上海,Shanghai,121.577,31.2071
1151A,迈皋桥,Maigaoqiao,南京,Nanjing,118.803,32.1083
1152A,草场门,Caochangmen,南京,Nanjing,118.749,32.0572
1153A,山西路,Shanxilu,南京,Nanjing,118.778,32.0723
1154A,中华门,Zhonghuamen,南京,Nanjing,118.777,32.0144
1155A,瑞金路,Ruijinlu,南京,Nanjing,118.803,32.0314
1156A,玄武湖,Xuanwuhu,南京,Nanjing,118.795,32.0775
1157A,浦口,Pukou,南京,Nanjing,118.626,32.0878
1158A,奥体中心,Aotizhongxin,南京,Nanjing,118.737,32.0092
1159A,仙林大学城,Xianlindaxuecheng,南京,Nanjing,118.907,32.105
1160A,上方山,Shangfangshan,苏州,Suzhou,120.561,31.2472
1161A,南门,Nanmen,苏州,Suzhou,120.628,31.2864
1162A,彩香,Caixiang,苏州,Suzhou,120.591,31.3019
1163A,轧钢厂,Yagangchang,苏州,Suzhou,120.596,31.3264
1164A,吴中区,Wuzhongqu,苏州,Suzhou,120.613,31.2703
1165A,苏州新区,Suzhouxinqu,苏州,Suzhou,120.543,31.2994
1166A,苏州工业园区,Suzhougongyeyuanqu,苏州,Suzhou,120.669,31.3097
1167A,相城区,Xiangchengqu,苏州,Suzhou,120.641,31.3708
1168A,南郊,Nanjiao,南通,Nantong,120.913,31.96
1169A,虹桥,Hongqiao,南通,Nantong,120.86,32.0005
1170A,城中,Chengzhong,南通,Nantong,120.87,32.02
1171A,星湖花园,Xinghuhuayuan,南通,Nantong,120.94,31.93
1172A,紫琅学院,Zilangxueyuan,南通,Nantong,120.81,32.0417
1173A,市环境监测站,Shihuanjingjiancezhan,连云港,Lianyungang,119.176,34.5885
1174A,洪门派出所,Hongmenpaichusuo,连云港,Lianyungang,119.141,34.5896
1175A,墟沟核电专家村,Xugouhedianzhuanjiacun,连云港,Lianyungang,119.368,34.7507
1176A,开发区恒瑞医药公司,Kaifaquhengruiyiyaogongsi,连云港,Lianyungang,119.348,34.6984
1177A,黄河新村,Huanghexincun,徐州,Xuzhou,117.167,34.2761
1178A,淮塔,Huaita,徐州,Xuzhou,117.192,34.2417
1179A,铜山兽医院,Tongshanshouyiyuan,徐州,Xuzhou,117.192,34.3083
1180A,新城区,Xinchengqu,徐州,Xuzhou,117.256,34.2153
1181A,桃园路,Taoyuanlu,徐州,Xuzhou,117.244,34.2911
1182A,农科院,Nongkeyuan,徐州,Xuzhou,117.2933,34.2778
1183A,铜山区环保局,Tongshanquhuanbaoju,徐州,Xuzhou,117.166,34.1806
1184A,城东财政所,Chengdongcaizhengsuo,扬州,Yangzhou,119.46,32.3878
1185A,市监测站,Shijiancezhan,扬州,Yangzhou,119.404,32.41
1186A,邗江监测站,Hanjiangjiancezhan,扬州,Yangzhou,119.389,32.3761
1187A,第四医院,Disiyiyuan,扬州,Yangzhou,119.439,32.4033
1188A,大学城,Daxuecheng,无锡,Wuxi,120.269,31.4867
1189A,市北高中,Shibeigaozhong,无锡,Wuxi,120.275,31.6219
1190A,曹张,Caozhang,无锡,Wuxi,120.294,31.56
1191A,漆塘,Qitang,无锡,Wuxi,120.242,31.5031
1192A,东亭,Dongting,无锡,Wuxi,120.354,31.5848
1193A,旺庄,Wangzhuang,无锡,Wuxi,120.354,31.5475
1194A,育红小学,Yuhongxiaoxue,无锡,Wuxi,120.245,31.5631
1195A,堰桥,Yanqiao,无锡,Wuxi,120.288,31.6842
1196A,市监测站,Shijiancezhan,常州,Changzhou,119.996,31.7586
1197A,城建学校,Chengjianxuexiao,常州,Changzhou,119.933,31.7786
1198A,常工院,Changgongyuan,常州,Changzhou,119.962,31.8089
1199A,潞城,Lucheng,常州,Changzhou,120.0393,31.7638
1200A,武进监测站,Wujinjiancezhan,常州,Changzhou,119.935,31.7039
1201A,安家,Anjia,常州,Changzhou,119.905,31.9108
1202A,环境监测站,Huanjingjiancezhan,镇江,Zhenjiang,119.429,32.2056
1203A,新区办事处,Xinqubanshichu,镇江,Zhenjiang,119.68,32.1883
1204A,职教中心,Zhijiaozhongxin,镇江,Zhenjiang,119.491,32.215
1205A,丹徒区监测站,Dantuqujiancezhan,镇江,Zhenjiang,119.43,32.1319
1206A,公园路,Gongyuanlu,泰州,Taizhou,119.9,32.4867
1207A,莲花,Lianhua,泰州,Taizhou,119.9219,32.4611
1208A,高港区政府,Gaogangquzhengfu,泰州,Taizhou,119.882,32.303
1209A,留学生创业园,Liuxueshengchuangyeyuan,泰州,Taizhou,119.888,32.4639
1210A,钵池山,Bochishan,淮安,Huaian,119.036,33.5981
1211A,北京南路,Beijingnanlu,淮安,Huaian,119.007,33.575
1212A,市监测站,Shijiancezhan,淮安,Huaian,118.989,33.6067
1213A,楚州区监测站,Chuzhouqujiancezhan,淮安,Huaian,119.135,33.5039
1214A,淮阴区监测站,Huaiyinqujiancezhan,淮安,Huaian,119.0122,33.627
1215A,盐城电厂,Yanchengdianchang,盐城,Yancheng,120.118,33.4022
1216A,市监测站,Shijiancezhan,盐城,Yancheng,120.156,33.3942
1217A,文峰中学,Wenfengzhongxue,盐城,Yancheng,120.129,33.3719
1218A,开发区管委会,Kaifaquguanweihui,盐城,Yancheng,120.225,33.3947
1219A,市监测站,Shijiancezhan,宿迁,Suqian,118.2658,33.96
1220A,宿迁学院,Suqianxueyuan,宿迁,Suqian,118.293,33.9528
1221A,宿迁中学,Suqianzhongxue,宿迁,Suqian,118.2442,33.9592
1222A,宿豫区环保局,Suyuquhuanbaoju,宿迁,Suqian,118.3214,33.9506
1223A,滨江,Binjiang,杭州,Hangzhou,120.211,30.21
1224A,西溪,Xixi,杭州,Hangzhou,120.063,30.2747
1225A,千岛湖,Qiandaohu,杭州,Hangzhou,119.026,29.635
1226A,下沙,Xiasha,杭州,Hangzhou,120.348,30.3058
1227A,卧龙桥,Wolongqiao,杭州,Hangzhou,120.127,30.2456
1228A,浙江农大,Zhejiangnongda,杭州,Hangzhou,120.19,30.2692
1229A,朝晖五区,Chaohuiwuqu,杭州,Hangzhou,120.157,30.2897
1230A,和睦小学,Hemuxiaoxue,杭州,Hangzhou,120.12,30.3119
1231A,临平镇,Linpingzhen,杭州,Hangzhou,120.301,30.4183
1232A,城厢镇,Chengxiangzhen,杭州,Hangzhou,120.27,30.1819
1233A,云栖,Yunqi,杭州,Hangzhou,120.088,30.1808
1234A,区环保大楼,Quhuanbaodalou,宁波,Ningbo,121.836,29.9108
1235A,万里学院,Wanlixueyuan,宁波,Ningbo,121.56,29.8208
1236A,龙赛医院,Longsaiyiyuan,宁波,Ningbo,121.713,29.9572
1237A,三江中学,Sanjiangzhongxue,宁波,Ningbo,121.554,29.8906
1238A,市政管理站,Shizhengguanlizhan,宁波,Ningbo,121.615,29.9017
1239A,钱湖水厂,Qianhushuichang,宁波,Ningbo,121.633,29.7736
1240A,太古小学,Taiguxiaoxue,宁波,Ningbo,121.586,29.8633
1241A,市环境监测中心,Shihuanjingjiancezhongxin,宁波,Ningbo,121.524,29.8506
1242A,瓯海,Ouhai,温州,Wenzhou,120.634,28.0089
1243A,南浦,Nanpu,温州,Wenzhou,120.677,27.9939
1244A,龙湾,Longwan,温州,Wenzhou,120.76,27.9747
1245A,市站,Shizhan,温州,Wenzhou,120.671,28.0167
1246A,袍江站,Paojiangzhan,绍兴,Shaoxing,120.598,30.0911
1247A,城东开发委,Chengdongkaifawei,绍兴,Shaoxing,120.605,29.9919
1248A,市环保站,Shihuanbaozhan,绍兴,Shaoxing,120.576,30.007
1249A,城北水厂,Chengbeishuichang,湖州,Huzhou,120.1,30.8867
1250A,城西水厂,Chengxishuichang,湖州,Huzhou,120.07,30.8244
1251A,吉山新村,Jishanxincun,湖州,Huzhou,120.093,30.8617
1252A,清河小学,Qinghexiaoxue,嘉兴,Jiaxing,120.744,30.7946
1253A,嘉兴学院,Jiaxingxueyuan,嘉兴,Jiaxing,120.726,30.7478
1254A,监测站,Jiancezhan,嘉兴,Jiaxing,120.763,30.7567
1255A,黄岩环保大楼,Huangyanhuanbaodalou,台州,Taizhou,121.273,28.6459
1256A,台州环保大楼,Taizhouhuanbaodalou,台州,Taizhou,121.419,28.6542
1257A,路桥田洋王,Luqiaotianyangwang,台州,Taizhou,121.377,28.5773
1258A,定海檀枫,Dinghaitanfeng,舟山,Zhoushan,122.122,30.0203
1259A,普陀东港,Putuodonggang,舟山,Zhoushan,122.3094,29.9558
1260A,临城新区,Linchengxinqu,舟山,Zhoushan,122.19,29.9944
1261A,四中,Sizhong,金华,Jinhua,119.649,29.1131
1262A,十五中,Shiwuzhong,金华,Jinhua,119.647,29.077
1263A,监测站,Jiancezhan,金华,Jinhua,119.686,29.1029
1264A,环保大楼,Huanbaodalou,衢州,Quzhou,118.871,28.9404
1265A,实验学校,Shiyanxuexiao,衢州,Quzhou,118.871,28.9664
1266A,衢州学院,Quzhouxueyuan,衢州,Quzhou,118.855,28.9745
1267A,监测站大楼,Jiancezhandalou,丽水,Lishui,119.914,28.4514
1268A,莲都小学,Liandouxiaoxue,丽水,Lishui,119.93,28.4586
1269A,余庄前,Yuzhuangqian,丽水,Lishui,119.879,28.4231
1270A,明珠广场,Mingzhuguangchang,合肥,Hefei,117.196,31.7848
1271A,三里街,Sanlijie,合肥,Hefei,117.307,31.8766
1272A,琥珀山庄,Huposhanzhuang,合肥,Hefei,117.259,31.8706
1273A,董铺水库,Dongpushuiku,合肥,Hefei,117.16,31.9051
1274A,长江中路,Zhangjiangzhonglu,合肥,Hefei,117.25,31.8572
1275A,庐阳区,Luyangqu,合肥,Hefei,117.266,31.9438
1276A,瑶海区,Yaohaiqu,合肥,Hefei,117.336,31.8585
1277A,包河区,Baohequ,合肥,Hefei,117.302,31.7956
1278A,滨湖新区,Binhuxinqu,合肥,Hefei,117.278,31.7386
1279A,高新区,Gaoxinqu,合肥,Hefei,117.124,31.8516
1280A,鼓山,Gushan,福州,Fuzhou,119.389,26.0542
1281A,快安,Kuaian,福州,Fuzhou,119.414,26.0258
1282A,师大,Shida,福州,Fuzhou,119.303,26.0392
1283A,五四北路,Wusibeilu,福州,Fuzhou,119.299,26.1092
1284A,杨桥西路,Yangqiaoxilu,福州,Fuzhou,119.268,26.0797
1285A,紫阳,Ziyang,福州,Fuzhou,119.315,26.0753
1286A,溪东,Xidong,厦门,Shamen,118.1569444,24.81805556
1287A,洪文,Hongwen,厦门,Shamen,118.1513889,24.47666667
1288A,鼓浪屿,Gulangyu,厦门,Shamen,118.0636111,24.44583333
1289A,湖里,Huli,厦门,Shamen,118.10943,24.512764
1290A,省外办,Shengwaiban,南昌,Nanchang,115.893,28.6844
1291A,省林业公司,Shenglinyegongsi,南昌,Nanchang,115.8886,28.6839
1292A,林科所,Linkesuo,南昌,Nanchang,115.813,28.7442
1293A,京东镇政府,Jingdongzhenzhengfu,南昌,Nanchang,115.973,28.6969
1294A,建工学校,Jiangongxuexiao,南昌,Nanchang,115.852,28.6869
1295A,象湖,Xianghu,南昌,Nanchang,115.892,28.6425
1296A,武术学校,Wushuxuexiao,南昌,Nanchang,115.742,28.7994
1297A,石化,Shihua,南昌,Nanchang,115.912,28.6131
1298A,省站,Shengzhan,南昌,Nanchang,115.931,28.6844
1299A,科干所,Kegansuo,济南,Jinan,116.988,36.6114
1300A,农科所,Nongkesuo,济南,Jinan,116.93,36.67
1301A,开发区,Kaifaqu,济南,Jinan,117.114,36.6739
1302A,济南化工厂,Jinanhuagongchang,济南,Jinan,116.989,36.6872
1303A,省种子仓库,Shengzhongzicangku,济南,Jinan,117.0684,36.6868
1304A,机床二厂,Jichuangerchang,济南,Jinan,116.943,36.6489
1305A,市监测站,Shijiancezhan,济南,Jinan,117.049,36.6622
1306A,长清党校,Zhangqingdangxiao,济南,Jinan,116.734,36.5336
1307A,仰口,Yangkou,青岛,Qingdao,120.6659,36.2403
1308A,李沧区子站,Licangquzizhan,青岛,Qingdao,120.3905,36.1851
1309A,市北区子站,Shibeiquzizhan,青岛,Qingdao,120.3471,36.0699
1310A,市南区东部子站,Shinanqudongbuzizhan,青岛,Qingdao,120.4134,36.0654
1311A,四方区子站,Sifangquzizhan,青岛,Qingdao,120.3664,36.1032
1312A,市南区西部子站,Shinanquxibuzizhan,青岛,Qingdao,120.2992,36.0543
1313A,崂山区子站,Laoshanquzizhan,青岛,Qingdao,120.4587,36.0851
1314A,黄岛区子站,Huangdaoquzizhan,青岛,Qingdao,120.1964,36.3083
1315A,城阳区子站,Chengyangquzizhan,青岛,Qingdao,120.4001,36.2403
1316A,烟厂,Yanchang,郑州,Zhengzhou,113.681,34.7545
1317A,郑纺机,Zhengfangji,郑州,Zhengzhou,113.641,34.7745
1318A,银行学校,Yinxingxuexiao,郑州,Zhengzhou,113.675,34.8019
1319A,供水公司,Gongshuigongsi,郑州,Zhengzhou,113.564,34.802
1320A,经开区管委,Jingkaiquguanwei,郑州,Zhengzhou,113.727,34.7187
1321A,四十七中,Sishiqizhong,郑州,Zhengzhou,113.734,34.719
1322A,市监测站,Shijiancezhan,郑州,Zhengzhou,113.5991,34.7496
1323A,河医大,Heyida,郑州,Zhengzhou,113.6356,34.7538
1324A,岗李水库,Ganglishuiku,郑州,Zhengzhou,113.6113,34.9162
1325A,东湖梨园,Donghuliyuan,武汉,Wuhan,114.3672,30.5719
1326A,汉阳月湖,Hanyangyuehu,武汉,Wuhan,114.2511,30.5514
1327A,汉口花桥,Hankouhuaqiao,武汉,Wuhan,114.2836,30.6197
1328A,武昌紫阳,Wuchangziyang,武汉,Wuhan,114.3006,30.5494
1329A,青山钢花,Qingshanganghua,武汉,Wuhan,114.4272,30.6103
1330A,沌口新区,Dunkouxinqu,武汉,Wuhan,114.1525,30.4753
1331A,汉口江滩,Hankoujiangtan,武汉,Wuhan,114.3008,30.5947
1332A,东湖高新,Donghugaoxin,武汉,Wuhan,114.3894,30.4822
1333A,吴家山,Wujiashan,武汉,Wuhan,114.2131,30.6414
1334A,沉湖七壕,Chenhuqihao,武汉,Wuhan,113.8531,30.2997
1335A,经开区环保局,Jingkaiquhuanbaoju,长沙,Zhangsha,113.0833,28.2325
1336A,高开区环保局,Gaokaiquhuanbaoju,长沙,Zhangsha,112.8872,28.2189
1337A,马坡岭,Mapoling,长沙,Zhangsha,113.0792,28.2053
1338A,湖南师范大学,Hunanshifandaxue,长沙,Zhangsha,112.9394,28.19
1339A,雨花区环保局,Yuhuaquhuanbaoju,长沙,Zhangsha,112.9956,28.1442
1340A,伍家岭,Wujialing,长沙,Zhangsha,112.9792,28.2597
1341A,火车新站,Huochexinzhan,长沙,Zhangsha,113.0014,28.1944
1342A,天心区环保局,Tianxinquhuanbaoju,长沙,Zhangsha,112.9844,28.1178
1343A,湖南中医药大学,Hunanzhongyiyaodaxue,长沙,Zhangsha,112.8908,28.1308
1344A,沙坪,Shaping,长沙,Zhangsha,112.9958,28.3586
1345A,广雅中学,Guangyazhongxue,广州,Guangzhou,113.235,23.1422
1346A,市五中,Shiwuzhong,广州,Guangzhou,113.261,23.105
1347A,天河职幼,Tianhezhiyou,广州,Guangzhou,113.335367,23.13559
1348A,广东商学院,Guangdongshangxueyuan,广州,Guangzhou,113.348,23.0916
1349A,市八十六中,Shibashiliuzhong,广州,Guangzhou,113.433,23.105
1350A,番禺中学,Fanyuzhongxue,广州,Guangzhou,113.352,22.9477
1351A,花都师范,Huadoushifan,广州,Guangzhou,113.215,23.3917
1352A,市监测站,Shijiancezhan,广州,Guangzhou,113.26,23.1331
1353A,九龙镇镇龙,Jiulongzhenzhenlong,广州,Guangzhou,113.568,23.2783
1354A,麓湖,Luhu,广州,Guangzhou,113.281,23.1569
1355A,帽峰山森林公园,Maofengshansenlingongyuan,广州,Guangzhou,113.589,23.5538
1356A,荔园,Liyuan,深圳,Shenzhen,114.096,22.55
1357A,洪湖,Honghu,深圳,Shenzhen,114.117,22.5625
1358A,华侨城,Huaqiaocheng,深圳,Shenzhen,113.987,22.5417
1359A,南油,Nanyou,深圳,Shenzhen,113.923,22.5167
1360A,盐田,Yantian,深圳,Shenzhen,114.263,22.5908
1361A,龙岗,Longgang,深圳,Shenzhen,114.24,22.7267
1362A,西乡,Xixiang,深圳,Shenzhen,113.891,22.5794
1363A,南澳,Nanao,深圳,Shenzhen,114.494,22.5422
1364A,葵涌,Kuiyong,深圳,Shenzhen,114.41,22.6342
1365A,梅沙,Meisha,深圳,Shenzhen,114.297,22.5978
